,id,screen_name,astroturf,fake_follower,financial,other,overall,self_declared,spammer,english,universal
0,1512673114739851267,11_KhushiA,1.0,0.9,0.7,1.0,1.4,0.1,0.4,0.7717813288270262,0.760577756485164
0,6700412,lea_yang_,0.4,0.9,0.2,1.9,0.9,0.1,0.4,0.659646495284545,0.5222398722127631
0,1525317902349455365,JeffMinna,0.1,5.0,2.8,5.0,5.0,2.8,1.2,1.0,1.0
0,1519906729642934272,yeet_y33t,0.7,4.4,3.4,3.6,4.4,2.8,2.7,0.8457543526336647,0.904303821618659
0,567909166,DarioVillamiza1,0.6,1.6,1.5,3.0,3.0,0.0,0.8,0.7967247202742335,0.7982287282125168
0,1525316003042689024,AbigailBarboz13,0.2,5.0,1.8,4.7,5.0,3.0,4.1,1.0,1.0
0,1525317267650596866,rohitMunger01,0.4,3.8,1.6,3.8,3.8,3.0,3.4,0.8054784364249085,0.8236360812326989
0,1428367539629789189,VivaRonaldoXD,0.3,2.7,1.2,1.8,2.1,0.2,0.3,0.795728227940139,0.760577756485164
0,1524541573844905985,PhoenixOfMercy,0.2,4.8,3.7,2.8,4.8,2.6,2.9,0.923535423667034,1.0
0,1492797145787019265,PayalSingh3011,0.6,2.8,2.1,2.9,2.9,0.1,0.2,0.7967905786038864,0.805428834471509
0,131670757,mythomas32,0.0,1.0,0.2,3.2,3.2,0.2,1.0,0.796599114745521,0.5982419966968565
0,1525317053984362496,roblos_pro_1337,0.1,4.6,2.9,4.4,4.6,3.2,3.8,0.8748575042966269,0.859576255252869
0,790543093,B_Davis1104,0.4,0.2,0.2,1.3,0.8,0.0,0.0,0.6414184221423734,0.37678996390568303
0,1307846828751163393,ksg_industries,0.2,3.6,1.2,3.8,3.8,3.4,3.6,0.8054784364249085,0.8288069415530707
0,1523146481712173056,Kingsle25495324,0.1,2.9,3.8,5.0,5.0,2.8,1.1,0.9373635156266058,1.0
0,278886437,Aravinthdurai11,0.9,1.6,0.4,2.6,1.4,0.1,0.4,0.7668769621923945,0.6415870166679795
0,1525316853953728517,sachinkclover,0.2,4.6,4.6,3.1,4.6,2.2,3.4,0.8912318555080615,1.0
0,2914966946,QuielEze1,0.9,1.6,0.1,4.0,4.0,0.1,0.2,0.812935016236137,0.760577756485164
0,1482467926041141253,Eliaszarate_,0.0,5.0,2.4,4.6,5.0,3.4,2.9,0.9373635156266058,0.9338419498718862
0,939593573627961344,willowliuweil,0.2,4.3,3.2,4.6,4.6,2.9,4.4,0.8829632678129363,0.8992602564775524
0,1525316698433236992,esakkir61428963,0.2,4.4,1.8,4.8,4.8,3.2,3.8,0.9077975241648624,0.8992602564775524
0,1404837782007152641,gholetar,0.2,0.4,0.0,1.4,1.1,0.0,0.4,0.7176911080698488,0.6784864269642225
0,1026781075,journo45,0.4,0.3,0.0,0.6,0.8,0.2,0.2,0.6004883262510591,0.37678996390568303
0,183939901,steafenkristian,0.0,2.8,0.0,1.5,1.2,0.1,1.2,0.7287106185584935,0.7733457112766196
0,1135587717868347392,Do5h_Gx,0.4,4.6,3.2,4.2,4.6,2.8,2.7,0.8912318555080615,0.8963872382550993
0,17393150,vmurthy,0.2,0.8,0.0,1.6,0.6,0.1,0.1,0.5288664776112156,0.7828265255249504
0,804864694410350592,JasonM687,0.9,3.2,2.3,2.9,3.2,2.0,2.0,0.7965971518887632,0.8052176344738626
0,2839661600,saini_gurdev,0.2,3.4,0.8,3.8,3.8,3.0,3.0,0.8036706514015852,0.8115094045580712
0,982632369579536384,SAICHAR59666083,0.4,3.5,3.5,4.9,4.9,2.9,1.8,0.9307543294922915,0.8327856038833207
0,1525311731395854341,Red_Dirt_Cartel,0.2,5.0,2.8,4.9,5.0,3.3,3.6,1.0,0.9338419498718862
0,1310394611056152578,Demon_1949,0.2,3.2,0.9,2.5,3.2,0.1,3.0,0.796599114745521,0.8054092120440788
0,1385019344103505921,zhong0216,0.2,5.0,1.0,4.0,5.0,3.0,3.2,0.9373635156266058,0.9197876419218655
0,1492536207057686528,laurentucker44,0.6,2.6,4.6,4.3,4.6,2.9,1.8,0.8748575042966269,0.904303821618659
0,4432081878,FinanceHacks,0.4,4.6,2.7,4.1,4.6,3.8,4.1,0.8748575042966269,0.8963872382550993
0,313116325,shaunnabanauna,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2603678379426137
0,777234028244176896,_Geersoon,0.7,1.4,0.3,2.4,1.8,0.0,0.3,0.7920317685697057,0.37678996390568303
0,1491689599235592197,cahpatileh,0.8,3.8,1.8,3.2,3.8,0.6,2.2,0.8036706514015852,0.8372129323854712
0,1439044026427006979,AbundantAmbienc,0.0,4.8,1.2,4.8,4.8,3.5,4.2,0.923535423667034,0.9270685798190942
0,596334354,rrephatudi,0.2,0.4,0.1,0.6,0.0,0.2,0.0,0.22631829961109876,0.37678996390568303
